source_id,designation,ra,dec,parallax,parallax_error,parallax_over_error,phot_g_mean_mag,bp_rp,pmra,pmdec,radial_velocity
4268223294875011328,Gaia DR3 4268223294875011328,287.93226708792525,2.906128624064992,37.35756538044455,1.7716453,21.086369,20.220518,,-12.607303324654234,-5.697973009975523,
3660530536810146048,Gaia DR3 3660530536810146048,209.67999794293894,-0.08175914599826531,37.35230598805208,0.03169472,1178.5023,12.809875,2.7319517,-365.5056159928234,-402.4345386867946,-31.927988
3520585968137789184,Gaia DR3 3520585968137789184,187.4610665430532,-16.521496767357885,37.351251908345816,0.02424188,1540.7738,8.178585,1.1122594,-211.1255425611685,-136.261146947825,6.2181077
235742233662354944,Gaia DR3 235742233662354944,49.1917341666133,38.92436245086948,37.3510579674924,0.55130064,67.75079,12.243532,2.723753,-60.4225435366028,20.568512803919994,-6.390448
454010341345229824,Gaia DR3 454010341345229824,40.257765892365086,54.743366589911645,37.35091568737371,0.16885118,221.20612,17.767511,4.633692,1.7387848027145871,-68.40169033456095,
5400694982699764352,Gaia DR3 5400694982699764352,166.596667121661,-35.7489164713359,37.347155050557404,0.027624857,1351.9402,10.6461315,,152.83478182745841,-60.47687400876831,22.63612
3274291270411229056,Gaia DR3 3274291270411229056,54.17069902375673,3.488224272872074,37.34628219528339,0.035258327,1059.2188,12.394966,3.031992,122.13063860754636,-120.24203687809968,19.296688
854734436486835840,Gaia DR3 854734436486835840,158.7909340238363,57.08280045492562,37.344396527444374,0.06182092,604.0737,5.0622573,0.48623753,66.44928179514501,37.14489964223927,-12.316851
4987578158855872384,Gaia DR3 4987578158855872384,13.548372174052117,-39.67822874778279,37.342951528943914,0.04713559,792.2453,16.308073,0.67819405,135.80358323647306,-5.588468264022655,
405102621028789760,Gaia DR3 405102621028789760,15.520596603244714,52.90375194101554,37.34219804251733,0.021800954,1712.87,12.472226,2.569172,-114.93229739861923,-68.86815205252105,3.416284
4921063993207393408,Gaia DR3 4921063993207393408,12.451969817486713,-54.59298759651779,37.33853294691847,0.011424762,3268.211,9.079793,1.4148932,86.18618673787613,54.978036053152834,11.727666
3893524816036885120,Gaia DR3 3893524816036885120,183.2600036541762,3.247945148626976,37.33814034689563,0.032594826,1145.5236,14.305098,3.0030756,-214.3339768944887,-661.4279297715259,-11.076578
6840706910418152320,Gaia DR3 6840706910418152320,328.32546316145744,-13.551712410658338,37.33769197524785,0.11071848,337.2309,4.9792275,0.5139127,310.5264804799172,12.6274979000759,
1804492374403136768,Gaia DR3 1804492374403136768,308.2967821116084,14.504749966583557,37.33655103263451,0.023711517,1574.6167,14.288838,3.2410269,-11.791350405346943,-49.32391967760733,4.656216
4992138830007506048,Gaia DR3 4992138830007506048,5.29630127289041,-42.76121359273634,37.331869501888235,0.037753087,988.84283,15.345377,3.614811,255.18387868508995,-12.475107759790435,
3996405942953789696,Gaia DR3 3996405942953789696,165.76794361066305,24.96857129099428,37.32910983507991,0.09157619,407.629,13.333057,3.0069122,37.05192582777698,26.24412930709764,
34959010860789632,Gaia DR3 34959010860789632,43.823469266556074,16.308983183705624,37.328144420389556,0.029953755,1246.1924,7.2228208,0.8991914,204.0303657617365,-46.59796711370879,-1.4234511
