source_id,common_name
58794735027901824,LTT 11052
58814186935574016,TIC 113883381
58914826609245440,AG+18 236
59015088325932544,Wolf 134
59077760488621184,PG 0308+188
59135587928348672,G 5-25
59289858858508544,Wolf 148
59323982374063360,LP 412-24
59507085419865472,[RSP2011] 42
59550138171861120,Gaia DR3 59550138171861120
59796596279472768,Gaia DR3 59796596279472768
59989221268292096,G 5-9
60040176760223744,LP 411-42
60096629810337024,TIC 438265435
60186343087140096,TOI-5084
60194447690126848,Gaia DR3 60194447690126848
60244789002681088,Wolf 132
60248877811546112,Botein
60365559186995200,TIC 113808357
60460465080107392,HIP 14974
60537254800168192,LP 412-1
60567152067792512,Gaia DR3 60567152067792512
60634497154983808,LHS 1508
60634497154983936,LHS 1509
60684353135617792,HIP 14810
60804990178866176,Gaia DR3 60804990178866176
60835261108333056,UCAC4 550-006619
60868349536328576,TIC 25897916
61059320962449536,Gaia DR3 61059320962449536
61386868050158848,BD+20 570
61497407625478272,WD 0325+217
61557468448003968,HAT 259-08622
61557468448004224,HAT 259-04369
61563069085277440,TIC 26078186
61669275037160064,LP 356-751
61689890880210176,Ross 376
61716073000740224,LTT 11123
61777783090773632,LP 356-43
61801491310173056,TIC 25965600
61933638863308672,2MASS J03172747+2056159
61934562280099456,Gaia DR3 61934562280099456
61990813467905792,TIC 5549008
61993081210622976,Gaia DR3 61993081210622976
62072795805229440,Gaia DR3 62072795805229440
62297371053191424,LHS 1514
62433573058459008,TIC 426473904
62549296656082944,LP 356-7
62634474446331904,2MUCD 13119
62669933697249024,LP 356-54
62670998849127552,AG+23 269
62884540326096896,LP 355-59
62944841667483648,[LH98] 61
62947354224986240,GJ 140 C
62948174562104448,GJ 140 A
62948174562535808,GJ 140 B
62964637171600000,Gaia DR3 62964637171600000
63054590968017408,Wolf 222
63126196662620416,CNS5 939
63151038753430912,LP 413-37
63181034805012224,AG+20 334
63309093549923072,Wolf 1291
63395989328447232,LP 413-93
63411313771718656,Gaia DR3 63411313771718656
63513568352960512,TIC 67830999
63678907415301120,HAT 260-03066
63879740086051072,LP 357-35
64085383120724864,Wolf 1301
64114210941134848,LP 356-700
64115585330656000,Wolf 1294
64217565032311808,LHS 1578
64266768177592448,Wolf 1243
64420871604166272,V* V607 Tau
64426575320796032,TIC 114085843
64513368019797376,V* V733 Tau
64552022725337856,TIC 26113064
64609506566796800,2MASS J03402497+2216373
64609506567812864,2MASS J03402523+2216406
64743269029603840,TIC 67829119
64746361406060288,Ross 870
64757356522247552,TIC 67786803
64758352954660096,Gaia DR3 64758352954660096
64989250397297280,CNS5 960
65012718096357504,Wolf 1288 B
65012718099202432,Wolf 1288
65022510623526272,HIP 17305
65082159129262720,LP 356-468
65103668325506560,LP 356-778
